Date,Red,Blue
2023-05-30,43.5374149659864,56.462585034013614
2023-05-19,42.84103720405862,57.158962795941385
2023-05-08,44.039735099337754,55.96026490066226
2023-05-08,43.169398907103826,56.83060109289618
2023-05-03,40.48672566371681,59.51327433628318
2023-05-02,48.47161572052402,51.52838427947599
2023-04-30,44.33443344334433,55.66556655665566
2023-04-29,42.505592841163306,57.49440715883668
2023-04-29,48.57142857142856,51.42857142857144
2023-04-17,45.814977973568276,54.18502202643172
2023-04-15,48.05771365149833,51.942286348501675
2023-04-12,45.57823129251701,54.42176870748299
2023-04-11,41.254125412541256,58.745874587458744
2023-04-04,41.163055872291906,58.836944127708094
2023-03-31,45.65217391304348,54.347826086956516
2023-03-29,43.52806414662085,56.47193585337915
2023-03-27,40.99660249150622,59.00339750849377
2023-03-20,43.333333333333336,56.666666666666664
