Date,Con,Lab,Lib Dem,SNP,Green
07/07/2022,0.29,0.4,0.15,0.05,0.06
06/07/2022,0.31,0.45,0.11,0.05,0.03
03/07/2022,0.35,0.41,0.11,0.03,0.05
03/07/2022,0.32,0.41,0.11,0.04,0.03
01/07/2022,0.32,0.42,0.11,0.04,0.04
30/06/2022,0.33,0.39,0.13,0.04,0.05
30/06/2022,0.32,0.4,0.13,0.05,0.05
29/06/2022,0.33,0.36,0.13,0.05,0.06
29/06/2022,0.3,0.41,0.15,0.05,0.06
27/06/2022,0.35,0.43,0.11,0.03,0.02
26/06/2022,0.33,0.41,0.15,0.04,0.04
26/06/2022,0.34,0.41,0.1,0.05,0.05
24/06/2022,0.34,0.37,0.11,0.04,0.06
23/06/2022,0.34,0.39,0.09,0.04,0.08
23/06/2022,0.32,0.38,0.14,0.04,0.06
22/06/2022,0.32,0.41,0.13,0.04,0.05
20/06/2022,0.34,0.36,0.13,0.04,0.05
19/06/2022,0.33,0.4,0.13,0.04,0.05
19/06/2022,0.31,0.42,0.1,0.04,0.05
16/06/2022,0.33,0.39,0.13,0.04,0.05
16/06/2022,0.33,0.39,0.1,0.04,0.06
15/06/2022,0.34,0.42,0.12,0.03,0.04
12/06/2022,0.32,0.39,0.15,0.05,0.06
12/06/2022,0.34,0.4,0.1,0.04,0.04
10/06/2022,0.34,0.41,0.1,0.04,0.03
10/06/2022,0.33,0.39,0.12,0.04,0.06
10/06/2022,0.34,0.36,0.13,0.03,0.06
09/06/2022,0.32,0.39,0.11,0.05,0.07
09/06/2022,0.32,0.4,0.13,0.04,0.05
05/06/2022,0.34,0.38,0.11,0.04,0.07
03/06/2022,0.32,0.36,0.12,0.05,0.08
01/06/2022,0.33,0.39,0.12,0.04,0.06
01/06/2022,0.32,0.4,0.12,0.04,0.06
29/05/2022,0.36,0.43,0.1,0.03,0.05
29/05/2022,0.31,0.42,0.11,0.04,0.03
27/05/2022,0.33,0.36,0.11,0.04,0.08
26/05/2022,0.33,0.4,0.11,0.04,0.06
25/05/2022,0.31,0.4,0.14,0.04,0.05
25/05/2022,0.31,0.39,0.12,0.04,0.07
23/05/2022,0.32,0.38,0.13,0.03,0.08
22/05/2022,0.33,0.39,0.12,0.04,0.05
19/05/2022,0.34,0.4,0.1,0.04,0.04
19/05/2022,0.35,0.39,0.1,0.04,0.06
19/05/2022,0.31,0.39,0.12,0.05,0.07
18/05/2022,0.33,0.39,0.12,0.04,0.04
17/05/2022,0.33,0.39,0.12,0.05,0.05
15/05/2022,0.35,0.39,0.12,0.04,0.06
15/05/2022,0.34,0.41,0.1,0.04,0.04
13/05/2022,0.34,0.37,0.12,0.04,0.07
12/05/2022,0.34,0.39,0.11,0.04,0.06
11/05/2022,0.33,0.38,0.12,0.04,0.06
08/05/2022,0.33,0.39,0.12,0.05,0.07
08/05/2022,0.34,0.39,0.11,0.04,0.03
06/05/2022,0.35,0.36,0.1,0.05,0.08
05/05/2022,0.34,0.4,0.1,0.04,0.05
01/05/2022,0.33,0.41,0.12,0.04,0.05
01/05/2022,0.35,0.41,0.09,0.04,0.04
28/04/2022,0.35,0.4,0.09,0.04,0.06
28/04/2022,0.35,0.4,0.1,0.05,0.07
27/04/2022,0.33,0.39,0.11,0.05,0.06
26/04/2022,0.33,0.42,0.09,0.04,0.04
26/04/2022,0.35,0.37,0.1,0.04,0.07
24/04/2022,0.34,0.42,0.11,0.04,0.04
24/04/2022,0.34,0.4,0.11,0.04,0.03
22/04/2022,0.34,0.36,0.1,0.04,0.08
21/04/2022,0.34,0.4,0.1,0.04,0.05
20/04/2022,0.33,0.39,0.09,0.04,0.08
17/04/2022,0.34,0.42,0.1,0.05,0.05
14/04/2022,0.32,0.43,0.09,0.05,0.06
14/04/2022,0.33,0.38,0.1,0.04,0.07
13/04/2022,0.34,0.41,0.09,0.04,0.05
11/04/2022,0.34,0.37,0.11,0.05,0.07
10/04/2022,0.34,0.42,0.08,0.04,0.05
10/04/2022,0.34,0.4,0.09,0.04,0.04
08/04/2022,0.34,0.38,0.1,0.04,0.07
07/04/2022,0.35,0.4,0.1,0.04,0.04
07/04/2022,0.34,0.37,0.1,0.04,0.07
03/04/2022,0.36,0.42,0.09,0.03,0.04
03/04/2022,0.33,0.4,0.11,0.05,0.04
31/03/2022,0.36,0.39,0.09,0.05,0.05
30/03/2022,0.33,0.37,0.09,0.06,0.06
30/03/2022,0.35,0.42,0.09,0.04,0.03
27/03/2022,0.35,0.37,0.09,0.06,0.05
27/03/2022,0.35,0.39,0.11,0.05,0.03
25/03/2022,0.36,0.38,0.09,0.04,0.07
24/03/2022,0.35,0.37,0.1,0.04,0.07
24/03/2022,0.35,0.4,0.1,0.04,0.05
23/03/2022,0.35,0.36,0.09,0.04,0.08
21/03/2022,0.36,0.36,0.12,0.03,0.06
20/03/2022,0.35,0.4,0.11,0.04,0.07
17/03/2022,0.35,0.39,0.1,0.04,0.06
17/03/2022,0.33,0.39,0.1,0.05,0.07
16/03/2022,0.35,0.39,0.1,0.05,0.07
13/03/2022,0.36,0.39,0.1,0.04,0.06
13/03/2022,0.35,0.4,0.09,0.04,0.03
11/03/2022,0.35,0.37,0.09,0.04,0.07
11/03/2022,0.34,0.4,0.1,0.05,0.05
10/03/2022,0.36,0.38,0.09,0.04,0.06
09/03/2022,0.33,0.39,0.1,0.04,0.07
07/03/2022,0.37,0.4,0.1,0.04,0.05
07/03/2022,0.37,0.4,0.09,0.05,0.05
06/03/2022,0.34,0.41,0.09,0.05,0.04
04/03/2022,0.35,0.37,0.07,0.05,0.08
03/03/2022,0.35,0.38,0.1,0.04,0.06
28/02/2022,0.35,0.38,0.12,0.05,0.05
28/02/2022,0.35,0.42,0.08,0.05,0.06
27/02/2022,0.34,0.42,0.09,0.04,0.03
25/02/2022,0.34,0.39,0.09,0.05,0.06
25/02/2022,0.34,0.38,0.11,0.04,0.06
24/02/2022,0.35,0.39,0.09,0.04,0.06
21/02/2022,0.33,0.39,0.11,0.05,0.07
21/02/2022,0.34,0.39,0.12,0.04,0.06
21/02/2022,0.35,0.42,0.09,0.04,0.03
20/02/2022,0.33,0.4,0.11,0.04,0.05
18/02/2022,0.32,0.38,0.13,0.05,0.07
17/02/2022,0.34,0.39,0.1,0.04,0.06
17/02/2022,0.34,0.38,0.1,0.04,0.06
14/02/2022,0.33,0.38,0.11,0.04,0.06
13/02/2022,0.32,0.41,0.11,0.04,0.04
11/02/2022,0.34,0.37,0.1,0.05,0.08
11/02/2022,0.34,0.37,0.11,0.03,0.06
09/02/2022,0.33,0.41,0.09,0.04,0.06
07/02/2022,0.32,0.42,0.09,0.04,0.06
06/02/2022,0.33,0.42,0.09,0.04,0.05
04/02/2022,0.34,0.41,0.1,0.04,0.05
02/02/2022,0.32,0.4,0.1,0.04,0.06
02/02/2022,0.32,0.41,0.1,0.05,0.06
31/01/2022,0.33,0.4,0.11,0.04,0.06
30/01/2022,0.33,0.44,0.09,0.04,0.03
28/01/2022,0.31,0.38,0.12,0.04,0.06
28/01/2022,0.34,0.39,0.09,0.05,0.05
27/01/2022,0.32,0.38,0.11,0.05,0.07
27/01/2022,0.32,0.42,0.1,0.05,0.06
25/01/2022,0.35,0.4,0.1,0.05,0.03
25/01/2022,0.31,0.4,0.13,0.04,0.09
24/01/2022,0.34,0.41,0.11,0.05,0.05
24/01/2022,0.34,0.38,0.11,0.05,0.07
23/01/2022,0.32,0.4,0.11,0.05,0.04
23/01/2022,0.32,0.42,0.1,0.05,0.07
21/01/2022,0.32,0.39,0.08,0.05,0.08
17/01/2022,0.3,0.43,0.09,0.04,0.07
17/01/2022,0.33,0.43,0.1,0.04,0.03
16/01/2022,0.32,0.41,0.11,0.05,0.04
16/01/2022,0.32,0.41,0.11,0.05,0.05
14/01/2022,0.32,0.42,0.11,0.04,0.04
14/01/2022,0.31,0.39,0.11,0.05,0.06
14/01/2022,0.31,0.41,0.09,0.04,0.06
13/01/2022,0.27,0.41,0.11,0.05,0.08
13/01/2022,0.29,0.4,0.11,0.05,0.06
13/01/2022,0.33,0.42,0.11,0.03,0.04
12/01/2022,0.28,0.38,0.13,0.05,0.07
10/01/2022,0.35,0.39,0.12,0.04,0.05
09/01/2022,0.33,0.37,0.11,0.05,0.04
07/01/2022,0.33,0.37,0.1,0.05,0.06
07/01/2022,0.34,0.39,0.11,0.04,0.05
03/01/2022,0.35,0.38,0.1,0.05,0.05
30/12/2021,0.35,0.4,0.1,0.05,0.04
22/12/2021,0.35,0.41,0.09,0.05,0.05
23/12/2021,0.32,0.39,0.11,0.05,0.06
21/12/2021,0.32,0.4,0.1,0.03,0.07
21/12/2021,0.34,0.41,0.09,0.04,0.04
19/12/2021,0.32,0.37,0.13,0.04,0.05
20/12/2021,0.3,0.36,0.12,0.06,0.08
20/12/2021,0.31,0.39,0.13,0.05,0.06
16/12/2021,0.34,0.38,0.1,0.05,0.04
15/12/2021,0.3,0.38,0.1,0.05,0.1
15/12/2021,0.32,0.37,0.1,0.05,0.07
13/12/2021,0.34,0.38,0.11,0.03,0.07
13/12/2021,0.31,0.38,0.08,0.05,0.08
13/12/2021,0.32,0.37,0.11,0.04,0.07
