Date,Con,Lab,UKIP,Lib Dem,SNP,Green
2015-12-20,39.0,34.0,10.0,7.0,4.0,3.0
2015-12-18,39.0,29.0,17.0,6.0,5.0,3.0
2015-12-18,38.0,30.0,16.0,5.0,6.0,5.0
2015-12-14,38.0,31.0,9.0,9.0,5.0,6.0
2015-12-13,37.0,33.0,11.0,7.0,4.0,5.0
2015-12-11,40.0,29.0,16.0,7.0,4.0,3.0
2015-12-01,41.0,30.0,16.0,6.0,4.0,3.0
2015-11-24,38.0,29.0,17.0,6.0,5.0,3.0
2015-11-22,40.0,29.0,11.0,8.0,4.0,3.0
2015-11-20,42.0,27.0,15.0,7.0,5.0,3.0
2015-11-17,37.0,30.0,16.0,6.0,5.0,3.0
2015-11-17,41.0,34.0,7.0,7.0,6.0,4.0
2015-11-17,37.0,30.0,15.0,7.0,4.0,4.0
2015-11-15,39.0,33.0,12.0,7.0,5.0,3.0
2015-11-11,36.0,30.0,15.0,7.0,5.0,3.0
2015-10-27,37.0,31.0,15.0,6.0,4.0,5.0
2015-10-25,38.0,33.0,10.0,8.0,3.0,3.0
2015-10-19,36.0,32.0,12.0,10.0,5.0,3.0
2015-10-16,37.0,32.0,15.0,5.0,6.0,4.0
2015-10-15,42.0,29.0,13.0,7.0,5.0,3.0
2015-10-11,38.0,34.0,11.0,7.0,5.0,3.0
2015-09-30,37.0,31.0,17.0,7.0,5.0,2.0
2015-09-28,39.0,30.0,12.0,9.0,4.0,4.0
2015-09-22,37.0,32.0,13.0,9.0,5.0,3.0
2015-09-22,39.0,34.0,7.0,9.0,5.0,4.0
2015-09-18,39.0,31.0,16.0,6.0,5.0,3.0
2015-09-18,37.0,32.0,14.0,6.0,5.0,4.0
2015-09-17,42.0,30.0,13.0,7.0,5.0,3.0
2015-09-13,38.0,32.0,13.0,8.0,5.0,3.0
2015-09-04,38.0,32.0,13.0,6.0,5.0,4.0
2015-08-23,42.0,28.0,9.0,8.0,5.0,6.0
2015-08-13,40.0,29.0,13.0,8.0,5.0,4.0
2015-08-13,38.0,33.0,15.0,6.0,5.0,3.0
2015-08-09,40.0,31.0,10.0,7.0,5.0,4.0
2015-07-26,40.0,28.0,10.0,7.0,5.0,5.0
2015-07-20,37.0,31.0,9.0,10.0,5.0,8.0
2015-07-12,38.0,34.0,13.0,6.0,4.0,4.0
2015-06-28,39.0,27.0,11.0,9.0,5.0,6.0
2015-06-16,39.0,30.0,8.0,9.0,5.0,6.0
2015-06-14,37.0,31.0,13.0,8.0,5.0,5.0
2015-05-31,41.0,29.0,10.0,8.0,5.0,5.0
2015-05-26,41.0,30.0,13.0,7.0,4.0,4.0
2015-05-09,40.0,31.0,12.0,6.0,5.0,3.0
