Date,Approve,Disapprove,Neither
2020-10-21,35.0,26.0,39.0
2020-10-18,31.0,32.0,36.0
2020-10-09,40.0,24.0,37.0
2020-10-07,36.0,23.0,41.0
2020-10-05,29.0,30.0,41.0
2020-10-01,38.0,22.0,40.0
2020-09-30,43.0,31.0,26.0
2020-09-28,46.0,26.0,28.0
2020-09-25,49.0,30.0,21.0
2020-09-25,40.0,21.0,38.0
2020-09-23,38.0,23.0,40.0
2020-09-18,43.0,27.0,31.0
2020-09-16,38.0,23.0,39.0
2020-09-16,36.0,26.0,35.0
2020-09-11,42.0,21.0,37.0
2020-09-04,34.0,28.0,36.0
2020-09-02,36.0,21.0,42.0
2020-08-31,43.0,25.0,32.0
2020-08-28,38.0,24.0,38.0
2020-08-24,39.0,21.0,40.0
2020-08-24,30.0,28.0,41.0
2020-08-21,34.0,25.0,41.0
2020-08-19,40.0,21.0,39.0
2020-08-16,32.0,30.0,38.0
2020-08-12,38.0,22.0,40.0
2020-08-04,48.0,26.0,26.0
2020-08-03,48.0,21.0,31.0
2020-08-03,37.0,28.0,34.0
2020-07-29,38.0,27.0,36.0
2020-07-24,44.0,22.0,34.0
2020-07-19,33.0,28.0,39.0
2020-07-15,39.0,21.0,39.0
2020-07-13,33.0,29.0,37.0
2020-07-08,41.0,19.0,39.0
2020-07-06,47.0,23.0,30.0
2020-07-06,35.0,31.0,34.0
2020-07-03,43.0,22.0,35.0
2020-07-01,39.0,21.0,39.0
2020-06-26,46.0,19.0,35.0
2020-06-25,41.0,18.0,41.0
2020-06-25,35.0,25.0,40.0
2020-06-19,44.0,22.0,34.0
2020-06-18,37.0,19.0,44.0
2020-06-14,30.0,29.0,31.0
2020-06-12,45.0,21.0,34.0
2020-06-11,41.0,19.0,41.0
2020-06-10,37.0,23.0,36.0
2020-06-10,51.0,20.0,29.0
2020-06-08,48.0,21.0,32.0
2020-06-05,45.0,17.0,37.0
2020-06-03,39.0,22.0,36.0
2020-06-03,36.0,26.0,38.0
2020-05-29,44.0,19.0,37.0
2020-05-28,47.0,27.0,27.0
2020-05-27,38.0,19.0,42.0
2020-05-26,37.0,21.0,42.0
2020-05-22,47.0,17.0,35.0
2020-05-18,34.0,26.0,40.0
2020-05-17,29.0,28.0,42.0
2020-05-14,42.0,18.0,41.0
2020-05-14,39.0,30.0,9.0
2020-05-10,40.0,17.0,44.0
2020-05-07,35.0,17.0,48.0
2020-05-06,35.0,30.0,35.0
2020-05-01,36.0,18.0,46.0
2020-04-28,29.0,16.0,55.0
2020-04-24,38.0,26.0,35.0
2020-04-23,32.0,19.0,49.0
2020-04-17,33.0,17.0,50.0
2020-04-09,34.0,8.0,58.0
2020-04-09,31.0,10.0,59.0
