Date,JxCat,Cs,Left (PSOE + Sumar + PNV + EHB + ERC),Right (PP + VOX)
2022-05-23,,3.3,41.5,42.599999999999994
2022-05-21,1.8,1.9,44.300000000000004,46.3
2022-05-19,2.3,2.6,44.199999999999996,46.0
2022-05-18,,1.1,40.1,45.0
2022-05-14,1.9,2.2,45.5,44.099999999999994
2022-05-13,,3.1,41.0,44.4
2022-05-13,2.0,2.8,46.0,44.5
2022-05-13,2.3,2.7,44.9,45.099999999999994
2022-05-12,1.2,1.8,46.9,45.3
2022-05-11,,2.8,38.5,47.5
2022-05-09,2.1,2.3,47.6,43.0
2022-05-08,1.8,1.9,44.5,46.2
2022-05-07,1.9,2.7,45.400000000000006,44.1
2022-05-06,2.2,2.2,44.1,46.5
2022-05-06,2.3,2.8,45.0,44.8
2022-04-29,2.3,2.7,45.3,44.7
2022-04-25,,3.4,39.599999999999994,43.900000000000006
2022-04-23,1.8,1.7,45.6,44.5
2022-04-22,,2.9,41.2,44.400000000000006
2022-04-22,,1.3,40.6,44.6
2022-04-22,2.4,2.9,45.49999999999999,44.0
2022-04-20,2.0,2.4,45.300000000000004,44.599999999999994
2022-04-20,2.0,3.0,46.2,44.2
2022-04-18,2.0,2.4,44.7,44.3
2022-04-15,2.1,3.0,43.599999999999994,45.8
2022-04-15,2.4,2.9,45.9,43.7
2022-04-09,2.0,3.1,46.300000000000004,42.6
2022-04-09,1.2,2.0,48.0,41.6
2022-04-08,2.4,2.9,46.3,43.5
2022-04-08,1.6,1.9,44.0,46.1
2022-04-07,2.2,2.6,44.8,45.4
2022-04-07,2.7,2.5,45.699999999999996,43.0
2022-04-07,,2.3,40.2,44.3
2022-04-07,2.0,3.0,44.50000000000001,45.6
2022-04-07,,2.5,42.2,45.5
2022-04-06,,2.0,43.0,44.7
2022-04-06,1.8,2.4,44.300000000000004,44.8
2022-04-06,,1.1,39.4,46.8
2022-04-01,2.4,3.0,46.7,43.099999999999994
2022-03-30,,1.0,37.0,45.0
2022-03-29,2.2,3.6,45.49999999999999,42.8
2022-03-28,,3.6,41.1,42.1
2022-03-25,2.4,3.0,46.900000000000006,42.8
2022-03-25,1.6,2.0,43.7,45.6
2022-03-23,,1.0,39.0,45.0
2022-03-19,,3.6,43.0,41.4
2022-03-18,2.1,3.0,46.5,42.6
2022-03-18,2.4,3.0,48.199999999999996,41.599999999999994
2022-03-17,,,39.0,43.0
2022-03-17,2.0,2.5,45.50000000000001,44.7
2022-03-16,,1.0,40.0,44.0
2022-03-12,1.9,2.0,45.9,42.9
2022-03-11,,1.4,41.3,44.0
2022-03-11,2.4,3.0,48.199999999999996,41.4
2022-03-11,1.3,3.2,50.3,40.1
2022-03-10,,2.4,43.900000000000006,42.0
2022-03-09,,2.0,40.0,43.0
2022-03-09,2.2,3.1,45.50000000000001,43.9
2022-03-09,2.1,3.7,47.2,42.8
2022-03-07,2.2,4.0,44.8,43.099999999999994
2022-03-05,2.4,3.1,48.599999999999994,41.0
2022-03-04,2.0,2.9,45.7,44.8
2022-03-04,2.2,3.2,45.60000000000001,43.6
2022-03-02,2.2,3.7,45.3,42.900000000000006
2022-03-02,,2.0,40.0,41.0
2022-02-28,,4.3,41.0,40.9
2022-02-25,2.0,3.2,46.2,43.7
2022-02-25,,3.5,42.7,41.1
2022-02-25,2.3,3.6,47.9,41.1
2022-02-25,,1.3,40.9,44.1
2022-02-25,2.4,3.1,48.9,40.7
2022-02-25,1.9,2.8,46.800000000000004,41.9
2022-02-24,2.1,3.5,47.099999999999994,42.2
2022-02-23,,3.0,41.0,42.0
2022-02-20,2.4,3.3,48.5,40.8
2022-02-20,,3.6,43.6,41.2
2022-02-19,2.0,3.1,46.0,43.8
2022-02-19,2.2,3.7,47.3,41.0
2022-02-18,2.1,4.0,44.900000000000006,43.400000000000006
2022-02-18,,1.2,38.5,46.0
2022-02-18,2.5,3.4,47.5,41.8
2022-02-17,2.3,3.7,48.10000000000001,41.0
2022-02-17,2.2,3.0,43.9,44.0
2022-02-16,,3.0,40.0,43.0
2022-02-16,,3.3,45.3,38.8
2022-02-14,2.4,3.4,46.3,42.9
2022-02-12,1.6,4.8,49.5,36.1
2022-02-10,,3.1,42.0,41.1
2022-02-09,,3.0,40.0,43.0
2022-02-04,2.4,3.3,46.3,42.900000000000006
2022-02-01,,3.5,42.5,41.0
2022-01-28,2.2,3.0,45.6,44.0
2022-01-28,2.4,3.3,46.099999999999994,43.4
2022-01-28,1.9,3.1,47.199999999999996,41.5
2022-01-23,,3.4,40.099999999999994,44.0
2022-01-21,2.2,2.9,46.6,43.0
2022-01-20,2.3,3.2,45.89999999999999,43.599999999999994
2022-01-14,2.3,3.4,46.4,43.7
2022-01-14,,1.3,41.2,44.4
2022-01-14,1.6,3.0,46.49999999999999,41.4
2022-01-14,1.4,4.0,49.599999999999994,36.2
2022-01-14,1.7,2.6,47.0,42.8
