Date,ÖVP,SPÖ,FPÖ,Grüne,NEOS,KPÖ,BIER
2023-02-22,19.0,26.0,29.0,10.0,10.0,,5.0
2023-02-21,22.0,24.0,28.0,10.0,11.0,,3.0
2023-02-16,24.0,24.0,29.0,10.0,10.0,,
2023-02-16,22.0,24.0,27.0,10.0,11.0,,
2023-02-15,19.0,24.0,28.0,11.0,11.0,,6.0
2023-02-09,21.0,24.0,28.0,10.0,11.0,,
2023-02-08,19.0,23.0,29.0,11.0,11.0,,6.0
2023-02-01,21.0,23.0,29.0,10.0,10.0,,6.0
2023-01-25,20.0,24.0,28.0,9.0,11.0,,6.0
2023-01-19,22.0,24.0,28.0,12.0,9.0,,
2023-01-18,22.0,25.0,27.0,10.0,11.0,,
2023-01-18,20.0,25.0,26.0,9.0,12.0,,6.0
2023-01-11,22.0,25.0,25.0,10.0,11.0,,6.0
2023-01-05,22.0,25.0,28.0,9.0,10.0,,
2023-01-04,20.0,25.0,29.0,10.0,9.0,,5.0
2022-12-28,21.0,25.0,28.0,9.0,11.0,,4.0
2022-12-21,20.0,27.0,27.0,9.0,10.0,,4.0
2022-12-15,22.0,24.0,26.0,11.0,11.0,,
2022-12-14,19.0,24.0,30.0,10.0,10.0,,
2022-12-09,21.0,27.0,26.0,10.0,8.0,,
2022-12-07,20.0,26.0,26.0,11.0,10.0,,4.0
2022-12-07,21.0,25.0,29.0,9.0,10.0,,5.0
2022-12-05,21.0,27.0,29.0,10.0,11.0,,
2022-11-30,21.0,25.0,27.0,10.0,12.0,,4.0
2022-11-23,20.0,25.0,26.0,10.0,13.0,,
2022-11-16,22.0,27.0,25.0,10.0,12.0,,
2022-11-10,19.0,24.0,25.0,8.0,10.0,,6.0
2022-11-10,22.0,27.0,25.0,10.0,10.0,,
2022-11-10,20.0,32.0,21.0,10.0,12.0,,
2022-11-10,22.0,27.0,25.0,10.0,10.0,,
2022-11-09,22.0,27.0,24.0,11.0,12.0,,
2022-11-04,21.0,29.0,23.0,10.0,9.0,,
2022-11-02,21.0,26.0,25.0,11.0,12.0,,
2022-10-28,20.0,27.0,25.0,11.0,11.0,,
2022-10-28,19.0,25.0,24.0,8.0,10.0,,10.0
2022-10-25,21.0,26.0,26.0,11.0,11.0,,
2022-10-19,22.0,27.0,25.0,10.0,10.0,,
2022-10-14,23.0,28.0,24.0,10.0,10.0,,
2022-10-13,23.0,28.0,24.0,11.0,10.0,,
2022-10-12,22.0,28.0,25.0,10.0,10.0,,
2022-10-12,21.0,27.0,23.0,8.0,8.0,,7.0
2022-10-06,22.0,28.0,23.0,10.0,9.0,,
2022-10-05,22.0,28.0,24.0,9.0,12.0,,
2022-09-28,22.0,28.0,22.0,10.0,10.0,,
2022-09-27,21.0,27.0,24.0,10.0,12.0,,
2022-09-20,20.0,28.0,23.0,11.0,12.0,,
2022-09-15,21.0,29.0,23.0,11.0,9.0,,
2022-09-13,20.0,28.0,22.0,12.0,13.0,,
2022-09-08,20.0,29.0,21.0,10.0,10.0,,
2022-09-06,20.0,29.0,22.0,10.0,13.0,,
2022-08-30,21.0,30.0,22.0,9.0,11.0,,
2022-08-23,20.0,30.0,22.0,9.0,13.0,,
2022-08-18,21.0,28.0,22.0,11.0,11.0,,
2022-08-17,21.0,30.0,21.0,9.0,13.0,,
2022-08-11,22.0,30.0,21.0,11.0,11.0,,
2022-08-09,23.0,31.0,20.0,9.0,11.0,,
2022-08-04,20.0,29.0,21.0,10.0,10.0,,
2022-08-02,22.0,29.0,22.0,11.0,11.0,,
2022-07-27,21.0,29.0,23.0,10.0,11.0,,
2022-07-20,20.0,31.0,23.0,9.0,11.0,,
2022-07-16,21.0,30.0,20.0,10.0,10.0,,
2022-07-14,22.0,29.0,21.0,10.0,11.0,,
2022-07-13,21.0,29.0,22.0,10.0,12.0,,
2022-07-06,23.0,30.0,21.0,11.0,9.0,,
2022-07-03,20.0,31.0,21.0,10.0,11.0,,
2022-06-30,22.0,29.0,22.0,10.0,10.0,,
2022-06-28,21.0,31.0,22.0,10.0,9.0,,
2022-06-23,23.0,29.0,19.0,10.0,11.0,,
2022-06-23,21.0,31.0,19.0,11.0,11.0,,
2022-06-21,21.0,31.0,21.0,9.0,11.0,,
2022-06-14,22.0,29.0,20.0,10.0,11.0,,
2022-06-14,22.0,31.0,19.0,9.0,12.0,,
2022-06-11,21.0,31.0,20.0,9.0,11.0,,
2022-06-09,22.0,27.0,20.0,12.0,10.0,,
2022-06-08,21.0,32.0,19.0,9.0,12.0,,
2022-06-01,22.0,30.0,19.0,9.0,13.0,,
2022-05-25,23.0,29.0,20.0,10.0,11.0,,
2022-05-24,23.0,29.0,20.0,11.0,11.0,,
2022-05-19,23.0,29.0,21.0,9.0,11.0,,
2022-05-12,22.0,27.0,20.0,12.0,11.0,,
2022-05-11,23.0,27.0,20.0,9.0,12.0,,
