Date,LPC,CPC,NDP,BQ,GPC
2018-02-23,37.7,31.5,19.2,3.8,6.9
2018-02-16,36.6,30.8,20.3,3.3,8.0
2018-02-10,39.0,32.0,16.0,4.0,7.0
2018-02-09,38.1,30.4,18.5,3.1,8.8
2018-02-02,38.1,30.3,19.7,3.0,7.6
2018-01-28,39.0,32.0,18.0,4.0,6.0
2018-01-26,37.8,30.6,19.9,3.5,7.5
2018-01-24,38.0,43.0,12.0,3.0,3.0
2018-01-19,37.9,34.4,17.3,3.7,6.0
2018-01-12,37.0,33.8,20.0,3.8,4.5
2018-01-11,42.0,29.0,16.0,4.0,7.0
2018-01-06,40.3,34.5,13.1,4.4,7.7
2018-01-05,40.9,30.7,19.5,3.7,4.8
2017-12-29,41.6,30.1,20.1,3.5,4.2
2017-12-22,42.8,29.1,20.0,3.3,4.2
2017-12-15,41.9,29.3,19.1,3.4,5.7
2017-12-14,38.0,39.0,12.0,5.0,5.0
2017-12-14,38.0,31.0,20.0,5.0,
2017-12-08,40.7,30.3,17.5,3.8,6.7
2017-12-01,40.1,30.7,16.5,4.2,6.9
2017-11-30,40.0,34.0,13.0,4.0,8.0
2017-11-24,38.8,30.6,17.2,4.4,6.9
2017-11-17,39.3,30.7,16.6,5.0,7.0
2017-11-14,40.0,32.0,18.0,4.0,6.0
2017-11-10,38.3,30.9,17.5,5.3,6.0
2017-11-09,38.0,30.0,19.0,5.0,7.0
2017-11-06,36.0,38.0,14.0,6.0,6.0
2017-11-03,36.6,29.6,19.0,5.9,6.4
2017-10-27,36.1,29.6,18.5,6.1,6.6
2017-10-26,35.0,33.0,20.0,4.0,7.0
2017-10-25,38.0,30.0,23.0,4.0,
2017-10-25,42.0,30.0,15.0,4.0,7.0
2017-10-23,39.0,35.0,15.0,5.0,5.0
2017-10-20,35.0,30.8,17.7,6.3,6.9
2017-10-16,38.0,30.0,20.0,5.0,7.0
2017-10-13,34.6,31.3,16.3,7.2,7.3
2017-10-12,35.0,35.0,18.0,4.0,6.0
2017-10-11,38.0,30.0,19.0,4.0,8.0
2017-10-06,36.9,32.0,15.4,6.6,5.6
2017-10-04,37.0,36.0,14.0,4.0,8.0
2017-10-01,34.4,33.3,14.5,4.5,8.9
2017-09-29,38.1,31.2,15.2,6.3,6.7
2017-09-27,39.0,32.0,20.0,5.0,
2017-09-22,38.5,32.5,14.6,6.1,5.7
2017-09-15,40.9,30.0,15.5,6.0,5.5
2017-09-14,35.0,39.0,15.0,5.0,4.0
2017-09-11,42.0,30.0,16.0,5.0,6.0
2017-09-08,42.0,30.1,15.9,4.6,5.9
2017-09-03,43.0,31.0,17.0,3.0,6.0
2017-09-01,41.2,32.0,15.7,4.9,4.7
2017-08-31,43.0,32.0,15.0,4.0,5.0
2017-08-25,41.9,30.8,16.4,4.3,5.0
2017-08-18,39.4,31.0,18.2,5.1,4.9
2017-08-17,42.0,35.0,14.0,4.0,4.0
2017-08-11,37.8,31.1,19.2,5.2,5.4
2017-08-04,37.5,29.3,20.2,6.4,5.4
2017-07-28,36.7,29.1,20.0,5.8,6.8
2017-07-21,39.0,30.3,18.4,4.2,6.2
2017-07-18,43.0,31.0,16.0,3.0,5.0
2017-07-14,38.3,31.2,16.2,5.9,6.1
2017-07-10,40.0,31.0,19.0,4.0,5.0
2017-07-07,39.8,33.0,13.6,5.3,6.4
2017-06-30,38.9,31.6,14.0,6.3,7.6
2017-06-23,38.3,31.1,15.7,6.8,6.2
2017-06-19,35.3,33.0,15.2,3.7,8.5
2017-06-16,37.5,30.9,16.5,6.7,6.5
2017-06-12,39.0,30.0,19.0,5.0,7.0
2017-06-12,37.0,34.0,17.0,4.0,6.0
2017-06-09,36.8,30.5,17.3,6.1,7.1
2017-06-08,42.0,34.0,12.0,5.0,6.0
2017-06-02,40.0,28.1,16.5,6.2,7.3
2017-05-31,40.0,33.0,16.0,4.0,6.0
2017-05-29,41.0,33.0,17.0,4.0,5.0
2017-05-26,40.3,28.6,16.7,5.7,7.2
2017-05-19,42.1,27.9,16.2,5.2,7.4
2017-05-18,46.0,25.0,16.0,5.0,6.0
2017-05-15,41.0,31.0,18.0,5.0,5.0
2017-05-13,43.0,27.0,19.0,3.0,7.0
2017-05-12,43.0,27.0,20.0,4.0,5.0
2017-05-12,42.8,28.1,15.9,6.0,5.6
2017-05-05,41.8,29.0,18.8,5.1,4.1
2017-04-28,43.0,29.6,18.5,4.4,3.6
2017-04-24,35.0,35.0,17.0,5.0,7.0
2017-04-21,42.0,30.4,19.0,4.0,2.9
2017-04-14,41.4,32.4,18.7,3.4,3.1
2017-04-11,38.0,29.0,19.0,6.0,6.0
2017-04-07,40.3,32.6,18.0,4.0,3.5
2017-03-31,40.6,29.6,18.4,5.2,4.6
2017-03-30,39.0,32.0,20.0,5.0,
2017-03-24,42.5,29.2,16.1,4.8,5.2
2017-03-23,36.0,38.0,15.0,6.0,4.0
2017-03-17,44.0,29.0,16.0,4.0,6.0
2017-03-17,41.9,28.5,17.1,4.7,5.2
2017-03-10,41.4,28.1,17.0,4.9,6.0
2017-03-07,43.0,27.0,16.0,6.0,5.0
2017-03-03,39.6,30.5,17.2,5.0,5.1
2017-02-26,39.0,35.0,15.0,7.0,4.0
2017-02-24,38.9,31.0,16.8,5.4,5.2
2017-02-19,40.0,33.0,16.0,4.0,6.0
2017-02-17,39.3,29.6,16.9,6.3,5.7
2017-02-10,37.9,32.9,16.9,4.8,5.3
2017-02-06,34.0,34.0,16.0,6.0,6.0
2017-02-03,38.0,32.5,16.4,4.9,5.9
2017-01-27,39.1,32.1,16.3,5.1,5.5
2017-01-25,41.0,30.0,19.0,5.0,
2017-01-21,42.0,36.0,12.0,4.0,5.0
2017-01-20,39.4,31.2,16.3,5.1,5.9
2017-01-13,41.4,28.4,16.2,6.1,6.1
2017-01-06,43.0,28.5,16.2,5.2,5.4
2016-12-30,43.0,27.9,16.7,5.5,5.9
2016-12-23,42.0,28.3,16.9,5.6,5.6
2016-12-16,43.6,27.4,16.7,4.9,5.6
2016-12-14,44.0,30.0,16.0,4.0,5.0
2016-12-09,43.2,26.7,16.5,5.4,6.0
2016-12-07,42.0,34.0,12.0,5.0,6.0
2016-12-02,42.9,26.0,17.4,4.8,6.8
2016-11-25,44.7,25.1,17.9,4.4,6.4
2016-11-22,41.2,31.2,13.0,2.4,8.2
2016-11-18,42.9,28.7,16.0,5.6,5.6
2016-11-13,46.0,25.0,17.0,5.0,7.0
2016-11-11,46.3,26.2,15.4,4.3,6.2
2016-11-10,51.0,28.0,11.0,4.0,5.0
2016-11-06,49.0,29.0,13.0,4.0,5.0
2016-11-04,44.9,29.6,13.8,5.5,5.5
2016-10-28,44.5,29.6,13.3,5.3,6.0
2016-10-21,46.6,27.5,13.9,4.0,6.8
2016-10-18,46.6,26.4,14.1,3.3,7.8
2016-10-14,46.3,26.2,15.4,4.3,6.2
2016-10-12,49.0,30.0,12.0,5.0,4.0
2016-10-12,45.0,28.0,14.0,5.0,6.0
2016-10-07,45.9,25.9,16.2,4.3,5.7
2016-09-30,45.8,26.2,16.7,4.5,5.0
2016-09-21,47.0,34.0,9.0,6.0,3.0
