Date,CPC,LPC,NDP,BQ,GPC,PPC
2021-04-16,29.0,36.1,18.5,6.8,7.4,1.7
2021-04-14,29.0,37.0,19.0,6.0,6.0,2.0
2021-04-13,27.0,39.0,17.0,4.0,8.0,4.0
2021-04-13,30.2,33.1,15.9,6.4,7.4,
2021-04-11,30.0,35.0,18.0,7.0,7.0,
2021-04-09,30.0,40.0,13.0,9.0,5.0,
2021-04-09,29.2,37.6,18.9,5.9,7.0,1.2
2021-04-08,33.0,34.0,17.0,7.0,7.0,
2021-04-06,30.4,32.0,16.3,,8.3,
2021-04-02,27.0,39.2,18.0,5.6,8.0,1.5
2021-03-30,30.0,38.0,17.0,7.0,6.0,1.0
2021-03-28,28.0,35.0,22.0,7.0,6.0,
2021-03-26,27.4,38.7,17.4,5.8,7.9,2.0
2021-03-22,34.0,37.0,10.0,8.0,6.0,
2021-03-19,27.7,38.0,17.0,5.9,8.0,2.6
2021-03-17,29.0,33.0,19.0,7.0,8.0,3.0
2021-03-15,28.0,37.0,20.0,7.0,6.0,1.0
2021-03-14,31.0,36.0,19.0,6.0,5.0,
2021-03-12,27.6,36.7,17.0,5.6,8.5,3.7
2021-03-05,30.0,34.0,18.0,8.0,7.0,2.0
2021-03-05,29.7,34.8,16.9,6.2,7.4,4.1
2021-03-03,28.0,35.0,16.0,7.0,10.0,1.0
2021-03-03,31.0,35.0,19.0,6.0,4.0,2.0
2021-02-28,28.0,35.0,23.0,7.0,6.0,
2021-02-26,29.4,35.0,16.5,6.2,7.2,4.4
2021-02-24,31.0,36.0,15.0,6.0,7.0,
2021-02-19,31.0,34.0,20.0,7.0,5.0,2.0
2021-02-19,29.0,35.2,16.8,6.8,7.2,4.3
2021-02-16,31.4,32.9,14.9,,8.6,
2021-02-14,29.0,36.0,20.0,6.0,7.0,
2021-02-12,30.3,34.2,17.0,7.5,6.7,3.3
2021-02-10,30.0,33.0,20.0,8.0,8.0,
2021-02-05,28.9,35.9,16.4,7.4,7.4,3.1
2021-02-03,28.1,36.5,14.5,,9.3,
2021-02-03,31.0,32.0,18.0,8.0,7.0,2.0
2021-02-01,28.0,38.0,15.0,7.0,8.0,
2021-01-31,28.0,37.0,22.0,7.0,5.0,
2021-01-30,30.0,34.0,19.0,6.0,8.0,
2021-01-29,30.3,35.0,15.5,8.5,7.4,2.5
2021-01-27,30.9,34.3,15.0,5.7,7.7,3.7
2021-01-24,30.0,35.0,20.0,6.0,5.0,1.0
2021-01-22,28.8,36.3,15.9,8.1,7.8,2.2
2021-01-20,31.9,39.3,14.4,5.2,5.2,2.4
2021-01-17,29.0,36.0,21.0,7.0,6.0,
2021-01-15,27.4,38.7,15.7,8.0,7.5,2.0
2021-01-12,31.0,35.0,17.0,8.0,6.0,1.0
2021-01-12,31.3,34.5,15.0,,7.6,
2021-01-08,27.3,40.2,16.5,6.7,7.4,1.2
2021-01-06,29.0,36.0,19.0,6.0,8.0,
2021-01-03,30.0,35.0,20.0,7.0,6.0,
2021-01-01,25.8,40.4,18.2,6.4,7.3,1.5
2020-12-25,26.8,39.9,18.0,6.5,6.9,1.4
2020-12-23,29.0,38.0,18.0,7.0,6.0,
2020-12-18,32.0,35.0,17.0,7.0,7.0,
2020-12-18,26.2,38.1,20.0,6.3,7.0,1.5
2020-12-17,33.2,37.9,13.1,4.9,6.7,2.3
2020-12-14,31.0,37.0,20.0,7.0,3.0,1.0
2020-12-14,32.0,35.0,18.0,7.0,7.0,
2020-12-13,29.0,35.0,23.0,7.0,5.0,
2020-12-11,26.4,36.8,21.1,7.0,6.3,1.3
2020-12-04,26.6,36.0,20.0,7.0,7.9,1.1
2020-12-03,32.0,35.0,19.0,5.0,6.0,
2020-12-02,30.2,36.3,14.6,,8.8,
2020-11-30,33.0,34.0,19.0,6.0,4.0,1.0
2020-11-29,30.0,34.0,20.0,7.0,7.0,
2020-11-27,26.5,35.7,19.9,6.0,9.4,1.2
2020-11-26,31.7,39.0,12.3,5.1,6.7,3.3
2020-11-26,31.3,35.0,13.9,6.9,6.8,3.8
2020-11-25,32.0,38.0,16.0,6.0,6.0,1.0
2020-11-24,30.0,36.0,16.0,7.0,5.0,3.0
2020-11-23,31.0,36.0,17.0,8.0,7.0,
2020-11-20,26.7,35.9,19.6,5.6,10.0,1.3
2020-11-15,31.0,35.0,18.0,8.0,6.0,
2020-11-13,26.4,35.9,19.8,5.4,10.7,1.3
2020-11-12,30.0,38.0,15.0,8.0,6.0,2.0
2020-11-09,33.0,35.0,18.0,7.0,5.0,
2020-11-08,28.0,36.0,21.0,7.0,5.0,
2020-11-06,28.9,37.6,18.5,4.9,8.5,1.0
2020-11-01,31.0,34.0,21.0,7.0,6.0,
2020-10-30,27.9,39.5,16.9,5.6,8.2,1.1
2020-10-26,32.0,38.0,17.0,6.0,7.0,
2020-10-25,30.0,37.0,18.0,8.0,5.0,
2020-10-23,29.4,38.6,15.6,6.0,8.2,1.2
2020-10-21,34.0,35.8,15.0,5.4,5.0,3.4
2020-10-19,31.4,35.2,13.7,5.7,8.7,4.0
2020-10-18,29.0,36.0,18.0,8.0,6.0,
2020-10-16,32.5,38.5,13.4,6.0,7.6,1.4
2020-10-11,29.0,37.0,21.0,7.0,6.0,
2020-10-09,33.2,35.3,14.9,6.5,7.9,1.2
2020-10-06,31.0,37.0,16.0,6.0,5.0,3.0
2020-10-04,32.0,36.0,20.0,7.0,4.0,
2020-10-02,33.5,34.1,16.6,6.6,6.8,1.8
2020-10-01,31.0,36.0,18.0,7.0,6.0,
2020-09-28,30.0,35.0,17.0,6.0,7.0,3.0
2020-09-27,30.0,40.0,17.0,8.0,5.0,
2020-09-25,34.2,34.1,16.7,6.6,5.9,1.8
2020-09-24,34.6,37.1,15.2,4.8,4.6,2.2
2020-09-21,32.0,35.0,17.0,6.0,8.0,2.0
2020-09-20,30.0,35.0,19.0,8.0,6.0,
2020-09-18,33.2,35.0,17.4,6.0,6.1,1.5
2020-09-15,30.0,40.0,15.0,6.0,7.0,
2020-09-15,29.0,39.0,17.0,6.0,7.0,2.0
2020-09-14,32.0,33.0,20.0,6.0,8.0,
2020-09-13,32.0,38.0,17.0,8.0,3.0,1.0
2020-09-13,31.0,35.0,18.0,7.0,6.0,
2020-09-11,30.1,35.8,19.1,6.8,6.0,1.5
2020-09-06,32.0,34.0,19.0,7.0,6.0,
2020-09-04,31.1,33.2,19.2,7.8,7.6,0.9
2020-09-03,31.0,33.0,18.0,7.0,7.0,3.0
2020-09-01,35.0,35.0,17.0,7.0,4.0,1.0
2020-09-01,28.0,38.0,16.0,7.0,7.0,3.0
2020-08-30,29.0,35.0,21.0,8.0,5.0,
2020-08-28,30.5,34.3,19.5,7.6,7.1,0.9
2020-08-23,30.0,38.0,18.0,7.0,6.0,
2020-08-21,30.0,34.4,19.7,7.5,7.1,1.1
2020-08-19,30.0,36.0,18.0,6.0,5.0,4.0
2020-08-18,32.0,35.0,18.0,7.0,7.0,
2020-08-18,28.0,40.0,16.0,7.0,6.0,3.0
2020-08-16,32.0,35.0,18.0,8.0,6.0,
2020-08-14,31.5,33.5,17.9,6.4,8.6,1.6
2020-08-13,33.0,30.0,18.0,7.0,8.0,
2020-08-12,28.9,41.3,15.6,5.5,5.2,2.1
2020-08-09,29.0,36.0,15.0,8.0,8.0,
2020-08-07,30.1,36.1,17.6,6.4,7.4,2.0
2020-08-02,31.0,33.0,20.0,8.0,6.0,
2020-07-31,29.7,34.3,17.4,6.8,8.3,2.8
2020-07-29,30.0,34.0,17.0,8.0,6.0,2.0
2020-07-26,29.0,35.0,20.0,9.0,6.0,
2020-07-24,29.9,33.3,16.9,6.9,9.3,3.1
2020-07-22,30.0,34.7,15.2,6.5,7.6,3.5
2020-07-20,28.0,40.0,14.0,7.0,7.0,3.0
2020-07-19,28.0,39.0,17.0,7.0,7.0,
2020-07-17,28.9,34.9,16.9,7.1,8.8,2.8
2020-07-16,29.5,33.2,18.2,6.6,7.6,2.9
2020-07-16,31.0,36.0,16.0,7.0,7.0,2.0
2020-07-12,26.0,38.0,19.0,8.0,7.0,
2020-07-10,28.9,35.9,15.6,6.7,9.3,2.7
2020-07-05,25.0,39.0,20.0,8.0,5.0,
