Date,Government,Opposition
2024-05-03,43.900000000000006,49.199999999999996
2024-05-03,45.3,48.6
2024-05-02,44.7,49.5
2024-05-02,44.3,48.2
2024-04-30,44.6,49.0
2024-04-29,43.6,49.1
2024-04-26,45.400000000000006,48.49999999999999
2024-04-25,44.5,48.1
2024-04-24,44.400000000000006,49.3
2024-04-24,44.6,48.599999999999994
2024-04-22,43.699999999999996,49.0
2024-04-22,42.6,49.699999999999996
2024-04-21,43.900000000000006,49.800000000000004
2024-04-18,44.5,48.9
2024-04-18,44.3,48.0
2024-04-17,44.2,48.79999999999999
2024-04-15,44.199999999999996,48.900000000000006
2024-04-13,45.300000000000004,48.800000000000004
2024-04-12,43.0,48.2
2024-04-11,44.6,47.4
2024-04-09,43.7,47.699999999999996
2024-04-08,43.5,48.599999999999994
2024-04-08,44.099999999999994,52.89999999999999
2024-04-05,43.0,47.4
2024-04-04,44.0,49.6
2024-04-04,43.300000000000004,42.699999999999996
2024-04-04,44.5,51.5
2024-04-03,43.6,50.49999999999999
2024-04-02,42.800000000000004,47.50000000000001
2024-03-29,44.699999999999996,49.900000000000006
2024-03-28,42.50000000000001,50.699999999999996
2024-03-28,43.7,42.5
2024-03-25,43.0,47.0
2024-03-25,44.2,43.199999999999996
2024-03-23,44.599999999999994,47.400000000000006
2024-03-21,44.0,42.7
2024-03-21,44.099999999999994,45.3
2024-03-20,43.3,46.9
2024-03-18,42.599999999999994,46.800000000000004
2024-03-15,44.8,47.300000000000004
2024-03-14,44.300000000000004,42.599999999999994
2024-03-13,43.6,47.199999999999996
2024-03-11,42.800000000000004,47.300000000000004
2024-03-08,44.900000000000006,47.5
2024-03-07,44.4,42.8
2024-03-06,43.699999999999996,46.699999999999996
2024-03-05,43.400000000000006,46.9
2024-03-04,42.9,47.4
2024-03-01,45.5,47.1
2024-03-01,41.800000000000004,51.0
2024-02-29,42.6,45.0
2024-02-29,44.6,42.6
2024-02-28,43.599999999999994,46.8
2024-02-27,44.5,48.0
2024-02-26,42.9,47.50000000000001
2024-02-23,45.9,46.9
2024-02-22,44.4,45.699999999999996
2024-02-22,43.6,47.1
2024-02-22,44.400000000000006,42.699999999999996
2024-02-22,42.4,51.49999999999999
2024-02-19,43.300000000000004,47.2
2024-02-19,44.7,45.8
2024-02-16,45.8,46.699999999999996
2024-02-15,43.800000000000004,47.800000000000004
2024-02-15,44.800000000000004,42.7
2024-02-14,43.4,46.80000000000001
2024-02-13,45.699999999999996,46.699999999999996
2024-02-12,44.5,50.5
2024-02-12,43.5,47.0
2024-02-08,46.099999999999994,43.400000000000006
2024-02-08,44.8,42.70000000000001
2024-02-08,43.5,44.0
2024-02-05,45.5,48.0
2024-02-05,43.9,47.3
2024-02-02,46.3,46.3
2024-01-31,44.4,47.5
2024-01-29,46.5,46.2
2024-01-29,44.400000000000006,46.9
2024-01-29,44.1,43.900000000000006
2024-01-27,44.2,46.5
2024-01-26,44.2,40.8
2024-01-26,46.6,46.0
2024-01-25,45.2,42.4
2024-01-24,43.7,47.300000000000004
2024-01-24,45.099999999999994,46.7
2024-01-22,46.7,43.0
2024-01-22,44.699999999999996,46.50000000000001
2024-01-19,45.5,49.0
2024-01-19,46.7,42.699999999999996
2024-01-18,45.2,42.5
2024-01-18,44.7,46.4
2024-01-17,45.3,46.6
2024-01-16,46.699999999999996,45.8
2024-01-15,46.8,45.699999999999996
2024-01-15,45.0,46.4
2024-01-12,46.0,46.0
2024-01-12,46.5,42.699999999999996
2024-01-11,45.3,42.3
2024-01-11,45.0,47.2
2024-01-10,45.3,46.8
2024-01-10,46.0,45.9
2024-01-09,45.0,46.99999999999999
2024-01-08,46.3,42.9
2024-01-08,45.599999999999994,46.2
2024-01-04,45.4,46.99999999999999
2024-01-02,46.5,45.8
2023-12-29,45.199999999999996,42.4
2023-12-23,45.6,43.50000000000001
2023-12-21,45.1,42.5
2023-12-20,45.3,46.9
2023-12-18,44.800000000000004,46.7
2023-12-15,46.7,43.0
2023-12-15,44.199999999999996,44.2
2023-12-14,44.4,41.0
2023-12-14,45.5,42.2
2023-12-14,44.099999999999994,46.900000000000006
2023-12-14,45.5,46.800000000000004
2023-12-13,45.0,46.8
2023-12-13,44.0,42.699999999999996
2023-12-13,45.4,45.9
2023-12-11,46.699999999999996,45.900000000000006
2023-12-11,44.800000000000004,46.099999999999994
2023-12-08,44.0,46.8
2023-12-07,45.3,46.099999999999994
2023-12-07,45.0,43.8
2023-12-07,47.1,45.6
2023-12-07,45.2,44.0
2023-12-06,47.0,45.7
2023-12-06,45.4,45.699999999999996
2023-12-04,44.599999999999994,46.4
2023-12-01,47.3,45.599999999999994
2023-11-30,45.3,47.1
2023-11-30,45.3,42.99999999999999
2023-11-30,45.4,42.3
2023-11-30,45.5,47.199999999999996
2023-11-29,45.199999999999996,46.300000000000004
2023-11-27,45.0,46.5
2023-11-24,47.2,46.0
2023-11-23,45.5,46.7
2023-11-23,45.800000000000004,39.9
2023-11-23,45.6,42.400000000000006
2023-11-23,44.199999999999996,42.6
2023-11-23,45.6,47.2
2023-11-22,45.3,43.099999999999994
2023-11-20,45.5,46.3
2023-11-17,46.9,46.10000000000001
2023-11-16,45.099999999999994,46.5
2023-11-16,45.4,44.1
2023-11-16,45.4,42.400000000000006
2023-11-16,43.7,44.5
2023-11-16,45.50000000000001,47.099999999999994
2023-11-15,45.0,46.199999999999996
2023-11-13,45.2,46.4
2023-11-10,47.3,45.8
2023-11-09,44.3,40.99999999999999
2023-11-09,45.5,45.1
2023-11-09,43.300000000000004,46.7
2023-11-08,45.1,43.5
2023-11-08,45.6,47.400000000000006
2023-11-07,45.0,47.5
2023-11-06,45.4,44.0
2023-11-04,44.9,42.5
2023-11-03,47.800000000000004,42.50000000000001
2023-11-03,44.8,43.49999999999999
2023-11-02,44.3,47.0
2023-11-02,45.0,40.800000000000004
2023-11-02,45.5,47.3
2023-11-01,45.099999999999994,43.199999999999996
2023-10-30,45.400000000000006,43.5
2023-10-27,45.9,44.10000000000001
2023-10-27,44.6,46.3
2023-10-27,47.9,42.800000000000004
2023-10-26,44.2,46.79999999999999
2023-10-26,44.49999999999999,41.699999999999996
2023-10-25,45.0,43.4
2023-10-25,46.2,46.9
2023-10-23,44.8,43.4
2023-10-23,45.199999999999996,43.6
2023-10-20,48.3,42.599999999999994
2023-10-20,45.6,38.900000000000006
2023-10-20,44.9,42.0
2023-10-19,44.2,46.50000000000001
2023-10-19,45.7,44.5
2023-10-19,46.3,46.7
2023-10-18,44.300000000000004,46.599999999999994
2023-10-18,45.3,39.6
2023-10-18,45.0,46.300000000000004
2023-10-17,46.0,43.0
2023-10-17,43.5,47.5
2023-10-17,45.099999999999994,44.8
2023-10-16,44.99999999999999,45.800000000000004
