Date,VVD,D66,PVV,PvdA-GL,CDA,SP,FvD,PvdD,CU,Volt,JA21,SGP,DENK,50+,BBB,BIJ1,BVNL
2022-06-27,31,16,16,21.0,9,9,5,8,5,4,6,3,4,0,12,1,0
2022-06-25,21,12,15,25.0,7,7,5,8,7,5,8,4,3,1,18,2,2
2022-06-18,22,11,17,25.0,7,7,5,8,7,5,10,4,3,1,14,2,2
2022-06-13,24,14,15,23.0,8,10,4,9,6,5,10,5,3,0,12,2,0
2022-06-11,23,12,17,24.0,7,7,5,8,7,5,10,4,3,1,13,2,2
2022-05-30,33,14,17,21.0,11,8,5,9,6,5,6,3,3,1,7,1,0
2022-05-28,25,13,16,24.0,7,7,5,8,7,4,11,4,3,1,11,2,2
2022-05-27,30,13,16,25.0,9,6,4,8,6,6,5,4,4,1,12,1,0
2022-05-16,28,13,16,25.0,8,8,5,8,6,5,10,4,3,1,8,1,1
2022-05-14,25,13,16,24.0,7,7,5,8,7,4,11,4,3,1,11,2,2
2022-04-25,34,14,14,22.0,9,7,5,10,5,5,8,4,4,1,7,1,0
2022-04-23,27,14,15,24.0,7,7,4,8,7,4,11,4,3,1,10,2,2
2022-04-11,29,18,13,24.0,7,7,4,8,6,4,10,4,3,2,8,1,2
2022-04-09,26,18,14,23.0,8,7,4,8,7,4,11,4,3,1,10,1,1
2022-04-02,25,18,14,23.0,9,7,4,8,7,4,12,4,3,1,9,1,1
2022-03-28,33,19,15,21.0,9,7,4,9,5,4,8,4,4,1,6,1,0
2022-03-26,25,18,14,23.0,9,7,4,8,7,4,12,4,3,1,9,1,1
2022-03-19,25,18,14,23.0,9,7,4,8,7,4,12,4,3,1,9,1,1
2022-03-12,27,20,14,19.0,8,8,5,9,6,4,12,4,3,1,8,1,1
2022-03-11,33,20,13,22.0,8,10,4,7,6,4,8,2,2,2,8,1,0
2022-03-05,27,20,14,18.0,8,9,5,9,6,4,12,4,3,1,8,1,1
2022-02-28,32,20,17,19.0,10,7,4,9,5,5,8,3,4,1,5,1,0
2022-02-26,25,20,14,18.0,7,9,6,9,6,5,13,4,3,1,8,1,1
2022-02-19,23,20,15,18.0,6,9,7,9,5,7,13,4,3,1,8,1,1
2022-02-14,27,19,17,21.0,6,7,4,8,6,9,9,4,2,1,8,1,1
2022-02-12,22,19,15,18.0,6,8,7,9,5,10,13,4,3,1,8,1,1
2022-02-05,22,19,15,18.0,6,8,7,9,5,10,13,4,3,1,8,1,1
2022-01-31,32,20,16,18.0,11,8,6,5,5,6,9,2,2,2,7,1,0
2022-01-29,22,19,15,18.0,6,8,7,9,5,10,13,4,3,1,8,1,1
2022-01-24,30,19,17,20.0,9,7,6,9,5,7,6,3,3,1,7,1,0
2022-01-22,23,18,17,18.0,6,8,7,9,6,10,11,4,3,1,7,1,1
2022-01-17,26,17,15,20.0,8,8,5,8,6,10,10,4,2,1,8,1,1
2022-01-15,25,19,18,18.0,7,8,7,9,6,8,9,3,3,1,7,1,1
2021-12-25,27,18,19,18.0,7,8,6,9,6,7,9,3,3,0,8,1,1
2021-12-20,32,16,18,18.0,10,11,4,8,8,7,7,3,1,1,5,1,0
2021-12-20,31,21,18,18.0,8,8,6,9,5,5,8,3,3,0,6,1,0
2021-12-18,27,18,19,18.0,7,8,6,9,6,7,9,3,3,0,8,1,1
2021-12-11,30,17,19,19.0,6,8,6,9,6,7,7,3,3,0,8,1,1
2021-12-06,29,18,16,18.0,9,8,4,8,5,10,8,3,1,1,9,2,1
2021-12-04,32,16,20,19.0,5,8,6,9,6,6,7,3,3,0,8,1,1
2021-11-29,34,20,20,16.0,10,9,4,8,5,5,5,4,3,0,6,1,0
2021-11-27,32,16,20,19.0,5,8,6,9,6,6,7,3,3,0,8,1,1
2021-11-20,32,16,20,19.0,5,8,6,9,6,6,7,3,3,0,8,1,1
2021-11-15,33,15,17,19.0,8,8,6,7,8,8,6,4,2,0,6,2,1
2021-11-09,33,20,18,17.0,9,8,6,7,5,7,5,3,3,2,6,1,0
2021-11-06,34,18,20,19.0,5,8,5,9,6,6,5,3,3,0,7,1,1
2021-10-30,34,18,20,19.0,5,8,5,9,6,6,5,3,3,0,7,1,1
2021-10-25,35,19,19,16.0,9,10,3,10,5,6,6,3,3,0,5,1,0
2021-10-16,34,17,19,20.0,5,9,6,8,6,6,5,3,3,0,7,1,1
2021-10-11,34,15,16,23.0,7,10,5,8,6,8,7,4,1,0,5,1,0
2021-10-09,34,17,18,20.0,5,9,7,8,7,6,4,3,3,0,7,1,1
2021-10-02,36,17,17,20.0,5,9,6,7,7,6,5,3,3,0,7,1,1
2021-09-27,37,19,18,18.0,8,8,4,9,5,6,6,3,3,0,5,1,0
2021-09-25,35,19,17,20.0,5,9,6,7,7,6,4,3,3,0,7,1,1
2021-09-20,33,20,20,20.0,7,7,4,6,6,6,6,3,3,1,7,1,0
2021-09-18,35,20,16,20.0,7,8,5,7,7,5,5,3,3,0,7,1,1
2021-09-13,33,19,16,23.0,7,9,5,8,7,6,5,3,1,0,6,2,0
2021-09-11,37,19,16,19.0,6,9,5,8,6,5,5,3,3,0,7,1,1
2021-09-04,37,18,16,19.0,7,9,5,8,6,5,5,3,3,0,7,1,1
2021-08-30,39,21,17,19.0,10,7,4,7,6,5,5,3,3,0,3,1,0
2021-08-21,36,19,17,18.0,6,9,5,8,6,6,5,3,3,0,7,1,1
2021-07-26,37,22,16,17.0,9,9,3,8,6,5,7,3,3,0,4,1,0
2021-07-24,35,22,17,17.0,6,9,5,8,6,6,5,3,3,0,6,1,1
2021-07-12,35,22,17,20.0,6,9,4,7,5,6,6,3,2,0,5,2,1
2021-06-28,39,23,17,16.0,9,8,5,8,5,4,5,3,3,0,4,1,
2021-06-26,35,22,18,17.0,6,9,5,8,6,6,5,3,3,0,5,2,
2021-06-19,35,22,18,17.0,6,9,5,8,6,6,5,3,3,0,5,2,
2021-06-12,35,22,18,17.0,8,9,5,7,5,6,6,3,3,0,4,2,
2021-06-07,36,21,14,19.0,12,7,5,8,5,6,6,3,3,0,3,2,
2021-06-05,35,22,17,17.0,11,9,4,7,5,6,6,3,3,0,3,2,
2021-05-29,34,23,18,16.0,11,9,4,7,5,6,6,3,3,0,3,2,
2021-05-23,36,25,17,16.0,13,8,3,9,4,5,6,3,2,0,2,1,
2021-05-22,34,23,18,16.0,11,9,4,7,5,6,6,3,3,0,3,2,
2021-05-15,34,23,18,16.0,11,9,4,7,5,6,6,3,3,0,3,2,
2021-05-08,34,23,17,16.0,11,9,8,7,5,5,6,3,3,0,2,1,
2021-05-03,34,23,15,17.0,10,10,7,7,5,6,6,3,3,1,2,1,
2021-05-01,32,22,18,16.0,12,9,9,7,5,5,6,3,3,0,2,1,
2021-04-24,32,22,18,16.0,12,9,9,7,5,5,6,3,3,0,2,1,
2021-04-19,35,26,18,16.0,12,7,7,8,4,5,4,3,2,1,1,1,
2021-04-17,32,24,17,16.0,14,9,9,6,5,4,5,3,3,0,2,1,
2021-04-12,34,26,15,14.0,14,10,7,6,5,4,6,3,3,1,1,1,
2021-04-10,31,24,16,16.0,14,9,9,7,5,4,5,3,3,1,2,1,
2021-04-03,28,25,16,17.0,15,9,9,7,5,4,5,3,3,1,2,1,
2021-03-27,33,24,16,16.0,14,9,9,6,5,4,5,3,3,1,1,1,
2021-03-17,34,24,17,17.0,15,9,8,6,5,3,3,3,3,1,1,1,
