Date,PCF,LFI,PS,EELV,EAC,PA,ENS,LR,RN,REC
2024-02-08,3.0,7.5,10.5,8.5,1.0,1.0,19.0,7.5,28.5,6.0
2024-02-08,3.5,8.0,10.5,8.0,1.5,1.5,18.0,7.5,28.0,6.0
2024-02-07,2.0,8.0,8.0,8.0,1.0,1.0,19.0,6.0,32.0,8.0
2024-01-31,3.0,6.0,9.0,9.0,,,14.0,8.0,33.0,6.0
2024-01-18,4.0,8.0,10.0,6.0,1.0,1.0,20.0,8.0,27.0,7.0
2024-01-17,4.0,7.5,9.5,7.0,1.5,1.0,19.0,6.5,31.0,7.0
2024-01-15,3.0,7.0,11.0,8.0,2.0,1.0,19.0,8.0,28.0,6.0
2024-01-15,4.0,6.5,9.0,9.0,1.0,,20.0,7.5,30.0,6.0
2024-01-15,2.0,7.0,8.0,9.0,,,20.0,6.0,30.0,7.0
2024-01-14,3.0,7.5,11.0,8.0,1.5,1.0,18.0,7.0,28.5,7.0
2024-01-12,3.0,7.5,9.5,8.5,1.5,1.0,18.0,8.5,28.5,5.0
2024-01-05,3.0,6.0,10.0,9.0,2.5,1.5,17.0,8.0,28.0,6.5
2023-12-14,3.0,6.5,9.0,6.0,,,21.0,9.0,31.0,6.0
2023-12-14,3.0,6.0,10.0,8.0,1.0,1.0,19.0,9.0,27.0,8.0
2023-12-12,3.0,7.5,10.5,9.5,,,20.0,8.0,28.0,6.5
2023-12-11,4.5,7.0,10.0,8.0,1.5,,18.0,7.5,30.0,7.5
2023-11-16,3.0,7.0,9.0,8.0,1.0,1.0,19.0,8.0,28.0,7.0
2023-11-10,2.0,8.5,10.0,10.0,,,22.0,6.0,29.0,6.0
2023-11-10,2.0,8.5,10.5,10.5,,,20.0,6.5,29.0,6.0
2023-10-13,5.0,9.0,9.0,8.0,2.0,,20.0,8.0,28.0,6.0
2023-10-13,5.0,9.0,9.0,9.0,1.5,,20.0,8.5,28.0,5.0
2023-08-31,5.0,10.0,9.0,8.0,2.0,,21.0,8.0,25.0,6.5
2023-08-31,5.0,9.0,10.0,8.0,1.5,,21.0,9.0,25.0,6.5
2023-07-05,4.0,8.0,9.0,9.0,,,20.0,11.0,26.0,7.0
2023-06-26,4.0,8.5,10.0,10.0,,,21.0,9.0,24.0,6.5
2023-06-26,5.0,9.5,15.0,15.0,,,23.0,9.0,25.0,6.5
2023-06-21,2.0,8.5,9.5,11.0,,,22.5,8.5,26.0,5.5
2023-05-19,4.0,11.0,9.0,11.0,,,19.5,7.5,24.0,6.5
2023-05-11,5.0,10.0,10.0,10.0,,,19.0,8.0,25.0,6.0
2023-05-09,3.0,9.0,10.0,11.0,,1.0,23.0,12.0,20.0,5.0
2019-05-26,2.5,6.3,6.2,13.5,,2.2,24.9,8.5,23.3,
