Date,Clinton,Trump
2016-09-28,49.473684210526315,50.526315789473685
2016-09-28,47.77777777777778,52.22222222222223
2016-10-01,52.74725274725275,47.25274725274725
2016-09-29,54.32098765432099,45.67901234567901
2016-09-30,54.11764705882353,45.88235294117647
2016-09-28,55.55555555555556,44.44444444444444
2016-09-28,53.2608695652174,46.73913043478261
2016-09-28,52.80898876404494,47.19101123595505
2016-09-26,53.191489361702125,46.808510638297875
2016-09-26,48.95833333333333,51.041666666666664
2016-09-24,47.19101123595505,52.80898876404494
2016-09-27,52.68817204301075,47.31182795698925
2016-09-23,53.086419753086425,46.913580246913575
2016-09-23,48.95833333333333,51.041666666666664
2016-09-27,52.12765957446809,47.87234042553192
2016-09-27,52.5,47.5
2016-09-26,52.80898876404494,47.19101123595505
2016-09-26,52.32558139534884,47.674418604651166
