Date,Johnson,Starmer
2021-04-19,0.6266666666666667,0.37333333333333335
2021-04-19,0.5584415584415584,0.44155844155844154
2021-04-18,0.5945945945945946,0.40540540540540543
2021-04-14,0.5666666666666667,0.43333333333333335
2021-04-12,0.6266666666666667,0.37333333333333335
2021-04-10,0.5897435897435898,0.41025641025641024
2021-04-09,0.6031746031746031,0.3968253968253968
2021-04-08,0.546875,0.453125
2021-04-05,0.631578947368421,0.3684210526315789
2021-04-01,0.546875,0.453125
2021-03-29,0.6266666666666667,0.37333333333333335
2021-03-26,0.578125,0.421875
2021-03-26,0.55,0.45
2021-03-22,0.6578947368421053,0.34210526315789475
2021-03-19,0.546875,0.453125
2021-03-19,0.5555555555555556,0.4444444444444444
2021-03-15,0.631578947368421,0.3684210526315789
2021-03-14,0.6197183098591549,0.38028169014084506
