Date,CHP,AKP,DEM,MHP,ZP,İYİ,YRP,TİP,A
2024-04-21,26.5,32.2,9.1,9.8,4.2,5.6,4.5,2.6,
2024-05-01,30.0,27.2,9.8,10.1,,4.1,,,
2024-04-01,35.2,29.8,10.5,7.7,3.4,4.0,5.7,0.9,
2024-03-01,26.1,34.5,9.4,9.9,3.2,7.5,6.5,,
2024-02-21,25.2,33.2,11.5,8.4,1.9,9.2,5.8,1.7,
2024-02-01,23.7,32.5,10.4,9.5,,7.4,,,
2024-02-01,24.2,36.8,9.4,11.0,2.9,8.1,4.2,,
2024-04-01,23.2,34.8,9.4,9.7,3.7,8.5,4.8,2.1,
2024-01-15,25.1,34.6,10.3,9.0,3.2,10.1,1.9,1.3,
2024-03-05,23.5,31.7,8.4,10.2,6.3,5.7,5.4,3.0,
2024-01-01,23.2,32.7,11.3,12.3,,7.9,,,
2023-12-29,25.2,33.3,9.4,10.3,4.0,5.5,5.0,2.2,
2023-12-24,22.5,38.4,9.0,9.1,3.8,8.3,4.2,,
2023-12-16,27.0,36.9,8.4,11.5,2.8,6.2,2.4,1.4,
2023-12-15,22.0,32.6,8.7,10.9,6.0,4.9,4.6,4.1,
2023-12-13,28.1,38.3,10.8,7.0,1.8,8.2,2.0,1.6,
2023-12-02,26.0,32.8,9.5,10.6,4.5,5.5,4.3,2.5,
2023-12-02,26.1,34.2,9.5,10.2,4.6,7.2,2.7,3.1,
2023-12-01,23.6,35.4,11.1,10.2,,7.2,,,
2023-11-30,27.9,37.0,9.9,7.0,2.6,6.6,2.4,1.8,
2023-11-19,23.4,38.8,11.3,9.9,1.8,9.0,1.8,1.3,
2023-11-08,24.3,32.9,9.3,10.0,3.0,7.4,4.1,4.0,
2023-11-01,23.0,32.7,10.7,9.2,,11.5,,,
2023-10-16,25.0,38.2,9.7,7.7,2.3,9.4,2.1,,
2023-10-10,20.2,34.5,9.8,12.1,2.7,8.0,2.0,3.0,
2023-10-01,21.6,31.9,12.1,10.5,,10.9,,,
2023-09-29,21.5,31.2,11.0,11.5,5.3,8.1,4.1,2.7,
2023-07-25,23.7,33.5,8.4,10.2,2.0,9.1,3.5,2.2,
2023-06-10,25.5,38.8,9.5,8.3,3.0,7.0,2.9,2.6,
2023-05-14,25.35,35.62,8.82,10.07,2.23,9.69,2.8,1.76,
